model,repeat_index,fold_index,seed,train_frame_count,test_frame_count,successful_test_frames,failed_test_frames,fold_status,test_rms,test_p95,test_edge_rms,test_straightness,straightness_source
brown_conrady,4,4,46,44,11,11,0,fully_successful,4.102111081795021,6.7133745431899925,4.608430318936795,1.0652803591774942,test
extended_pinhole,0,0,42,44,11,11,0,fully_successful,5.545373143058455,11.128082752227783,6.10477511722849,1.4970470834587022,test
extended_pinhole,0,1,42,44,11,11,0,fully_successful,3.453357296665915,4.708729076385498,2.662646278770718,0.6732910998173933,test
extended_pinhole,0,2,42,44,11,11,0,fully_successful,4.65260062041919,8.819404983520498,5.130695294875923,1.3371135082796926,test
extended_pinhole,0,3,42,44,11,11,0,fully_successful,1.4364065821912408,3.364014029502868,1.5912151750727213,0.7947421062138111,test
extended_pinhole,0,4,42,44,11,11,0,fully_successful,1.7301218479748843,3.1525969028472884,1.5863021244953661,0.769834949258797,test
extended_pinhole,1,0,43,44,11,11,0,fully_successful,3.209547004739931,3.735496997833252,2.247841771275564,0.6517815539714074,test
extended_pinhole,1,1,43,44,11,11,0,fully_successful,3.806317119940325,7.129562735557543,3.6386830392702643,0.8781307795179838,test
extended_pinhole,1,2,43,44,11,11,0,fully_successful,1.6571246956244063,3.5176867961883542,1.9198346833385647,0.8375510346712131,test
extended_pinhole,1,3,43,44,11,11,0,fully_successful,3.801350748394319,8.914469575881958,4.5411497311256595,1.0750864063077543,test
extended_pinhole,1,4,43,44,11,11,0,fully_successful,1.3444563111245333,2.64697380065918,1.3914839713753488,0.6264439772341021,test
extended_pinhole,2,0,44,44,11,11,0,fully_successful,18.246702142019664,29.06872577667236,19.98961275487386,1.64229880709428,test
extended_pinhole,2,1,44,44,11,11,0,fully_successful,1.3673114752932494,2.9091703414916954,1.5400128215368312,0.7519456218148372,test
extended_pinhole,2,2,44,44,11,11,0,fully_successful,4.625815360990217,8.520479774475081,5.371260041977523,1.2850095964105184,test
extended_pinhole,2,3,44,44,11,11,0,fully_successful,3.2005378472464145,3.4202912092208875,2.3750289118038332,0.4960338382853089,test
extended_pinhole,2,4,44,44,11,11,0,fully_successful,1.5628563652105316,2.8987487554550153,1.4657474685286616,0.6277924288843318,test
extended_pinhole,3,0,45,44,11,11,0,fully_successful,1.3168291933518368,2.7973955273628226,1.4247803520259783,0.5779770908647012,test
extended_pinhole,3,1,45,44,11,11,0,fully_successful,3.294474047985505,6.98840901851654,3.424038676357317,0.8133494310939763,test
extended_pinhole,3,2,45,44,11,11,0,fully_successful,6.250012594656805,11.28816556930542,6.31382431038964,1.2186891236100097,test
extended_pinhole,3,3,45,44,11,11,0,fully_successful,1.608050167367261,3.05599341392517,1.6835636863244212,0.7274693910931355,test
extended_pinhole,3,4,45,44,11,11,0,fully_successful,9.482259305048622,19.70125617980957,10.234861345650081,2.070133843888258,test
extended_pinhole,4,0,46,44,11,11,0,fully_successful,3.974335854119272,8.101424217224121,4.556537205194196,0.7718822241699861,test
extended_pinhole,4,1,46,44,11,11,0,fully_successful,1.2352838369302543,2.5687025547027584,1.255159133582011,0.7820164237225318,test
extended_pinhole,4,2,46,44,11,11,0,fully_successful,3.245731496117003,3.85225213766098,2.525162366318001,0.7359961107008196,test
extended_pinhole,4,3,46,44,11,11,0,fully_successful,7.069467098957637,15.94025764465332,7.576978684020953,1.3585262696969842,test
extended_pinhole,4,4,46,44,11,11,0,fully_successful,4.940896380722934,9.81201810836792,5.498133398096351,1.1867601975340716,test
fisheye,0,0,42,44,11,11,0,fully_successful,1.1378074654244625,2.445457697153519,1.2924372905363761,0.3397208534393526,test
fisheye,0,1,42,44,11,11,0,fully_successful,3.086816264635531,2.3333060393215344,1.9267846481367985,0.31660350806913873,test
fisheye,0,2,42,44,11,11,0,fully_successful,1.4105918699100444,2.805557281114756,1.4583517103945514,0.5017588029634454,test
fisheye,0,3,42,44,11,11,0,fully_successful,1.4799348627936393,3.443359980832024,1.5068549673261087,0.5984646180017699,test
fisheye,0,4,42,44,11,11,0,fully_successful,1.80153942847627,3.3176513532261485,1.5288377093893346,0.5078023159177528,test
